Date,Time,Latitude,Longitude,Magnitude,Epicenter
2015-04-25,4:08 PM,27.87,85.8,4.0,Sindhupalchowk
2015-04-25,10:40,27.86,85.85,4.0,Sindhupalchowk
2015-04-25,11:05,27.91,85.5,4.0,Sindhupalchowk
2015-04-25,11:41,28.14,85.28,4.0,Rasuwa
2015-04-25,12:17,28,85.4,4.0,Nuwakot
2015-04-25,12:44,28.16,84.71,5.0,Gorkha
2015-04-25,13:30,28.1,85.2,4.0,Rasuwa
2015-04-25,13:53,27.79,85.16,4.0,Nuwakot
2015-04-25,7:47 PM,27.68,85.32,4.0,Kathmandu
2015-04-25,7:55 PM,27.73,85.9,4.0,Sindhupalchowk
2015-04-25,8:08 PM,28.05,85.25,4.0,Rasuwa
2015-04-25,8:25 PM,27.73,85.9,5.0,Sindhupalchowk
2015-04-25,8:36 PM,28.14,85.16,4.0,Rasuwa
2015-04-25,9:02 PM,27.95,85.56,4.0,Sindhupalchowk
2015-04-25,10:12 PM,27.92,85.64,5.0,Sindhupalchowk
2015-04-25,10:31 PM,27.8,85.29,4.0,Nuwakot
2015-04-25,11:19 PM,27.77,85.83,4.0,Sindhupalchowk
2015-04-25,11:24 PM,27.9,85.53,4.0,Sindhupalchowk
2015-04-25,11:25 PM,27.78,85.17,4.0,Nuwakot
2015-04-25,11:40 PM,28.1,85.27,4.0,Rasuwa
2015-04-25,11:46 PM,27.78,85.98,4.0,Sindhupalchowk
2015-04-25,06:38,28.41,85.8,5.0,Tibet
2015-04-25,07:47,27.99,85.71,5.0,Tibet
2015-04-25,11:27 PM,28.34,85.91,5.0,Tibet
2015-04-25,12:39,27.82,86.05,4.0,Dolakha
2015-04-25,7:21 PM,27.69,86.02,4.0,Dolakha
2015-04-25,8:21 PM,27.6,86.09,4.0,Dolakha
2015-04-26,12:14 AM,27.94,85.55,4.0,Sindhupalchowk
2015-04-26,12:43 AM,27.71,85.43,4.0,Kathmandu
2015-04-26,1:29 AM,27.93,85.56,4.0,Sindhupalchowk
2015-04-26,1:49 AM,28.05,85.35,4.0,Rasuwa
2015-04-26,1:52 AM,28.14,84.71,4.0,Gorkha
2015-04-26,1:56 AM,27.93,85.56,4.0,Sindhupalchowk
2015-04-26,2:08 AM,28.25,85.83,4.0,Rasuwa
2015-04-26,2:14 AM,28.24,84.82,4.0,Gorkha
2015-04-26,2:17 AM,27.6,85.96,4.0,Sindhupalchowk
2015-04-26,2:49 AM,27.98,84.99,4.0,Gorkha
2015-04-26,2:52 AM,27.82,85.8,4.0,Sindhupalchowk
2015-04-26,5:01 AM,27.99,85.02,5.0,Nuwakot
2015-04-26,5:25 AM,27.69,85.25,4.0,Kathmandu
2015-04-26,5:26 AM,27.67,86.07,4.0,Dolakha
2015-04-26,5:32 AM,28.05,85.34,4.0,Rasuwa
2015-04-26,6:00 AM,27.67,85.28,4.0,Kathmandu
2015-04-26,6:16 AM,27.84,85.12,4.0,Nuwakot
2015-04-26,8:43 AM,28.32,84.73,4.0,Gorkha
2015-04-26,8:55 AM,27.8,85.16,5.0,Nuwakot
2015-04-26,9:06 AM,27.64,85.63,5.0,Kavre
2015-04-26,10:35 AM,28.04,85.5,4.0,Sindhupalchowk
2015-04-26,10:43 AM,28.26,85.02,4.0,Gorkha
2015-04-26,12:54 PM,27.84,86.05,6.0,Dolakha
2015-04-26,1:12 PM,27.75,85.94,5.0,Sindhupalchowk
2015-04-26,1:22 PM,27.94,86.05,5.0,Tibet
